case_id,canonical_source_group,raw_shape,finite_ok,label_range_ok,label_min_ns,label_max_ns,visible_fraction_ge_0_60,strong_fraction_ge_0_80,median_envelope_support,median_signed_support,median_abs_peak_offset_ns,p90_abs_peak_offset_ns,median_local_contrast,soft_center_offset_median_ns,soft_center_offset_p90_abs_ns,soft_target_semantics,curve_training_contract_ok,visible_mask_center_offset_median_ns,visible_mask_center_offset_p90_abs_ns,automatic_signal_grade,raw_sha256,label_sha256,canonical_case_path,case_local_scene_world,case_local_design_metrics,case_local_gprmax_input,paired_component_truth,physical_copy_count,duplicate_case_paths,historic_visual_decision,historic_local_review_trace_range,label_semantic_decision,development_decision,line9_conditioned,formal_training_allowed,formal_decision,negative_semantics
B003_SHALLOW_DISTRACTOR_003,batch3,5937x128,True,True,377.5634765625,405.4499816894531,1.0,1.0,1.0,1.0,1.0267333984375,2.379931640625,4.663713014761246,0.008535766601568184,0.6434283447264818,VISIBLE_PHASE_CENTERED,True,0.008535766601539763,0.6434283447265727,SUPPORTED,853be3c05e3153499e9af126a9f697611d1df01d51d0ef1e871589f747deb35a,7deb0d0c951bcb638f311990d52837f0c4cede0fc125dac91af84f541c7984ff,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_003,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_003,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_004,batch3,5937x128,True,True,349.9056396484375,375.6571350097656,1.0,1.0,1.0,1.0,1.1309967041015625,3.1267639160156246,6.168467842561508,-0.039846801758017136,0.5682110595702398,VISIBLE_PHASE_CENTERED,True,-0.039846801757846606,0.5682110595703023,SUPPORTED,2afa075c4b588f8124161435586f330e535e644c981792c9d28d32f62e9750dc,d6f489e1cfad3f684ecd77bf59ca2e4280bf6c8dd7deb3a0ad1d21c16801820f,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_004,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_004,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_005,batch3,5937x128,True,True,377.3515930175781,404.48614501953125,1.0,1.0,1.0,1.0,1.2441558837890625,2.87015380859375,4.445073861356979,0.10698242187490337,0.634118041992383,VISIBLE_PHASE_CENTERED,True,0.10698242187498863,0.6341180419922068,SUPPORTED,f5a8b2db1890ee832fc7a3067fa63c26251c86709dc66cdba6f947e798a1bc94,fdbeb3ad96453840d603b4581e228d554001579e3d4cb853da3d28f968766a99,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_005,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_005,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_006,batch3,5937x128,True,True,393.1026916503906,422.7926330566406,1.0,1.0,1.0,1.0,0.9212493896484375,2.4525360107421874,4.162551966452823,0.048193359375005684,0.615289916992242,VISIBLE_PHASE_CENTERED,True,0.04819335937497726,0.6152899169922194,SUPPORTED,8284d39ecffd4b243b975cca0850de681d65d77be8ed887588a7ce58c1741205,5a6b9bf96cbd4a7c6fcc9a02f782f2ecc7a626a7872b5a83aa7ed137d38ed925,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_006,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_006,VISUAL_REVIEW_LOCAL_ARTIFACT,32-35,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_AFTER_LOCAL_IGNORE,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_007,batch3,5937x128,True,True,399.616455078125,436.81494140625,1.0,1.0,1.0,1.0,1.04241943359375,3.03629150390625,3.861197971742139,0.04743347167928391,0.6419024658202772,VISIBLE_PHASE_CENTERED,True,0.047433471679653394,0.6419024658203056,SUPPORTED,369857e5fa8ab81140d1592c6275835cf814e04af74d7da21ce16dd7998338d1,a7dd2267111f5aba4084c8416247e65d0e7b0fb97bdd21697baf7425eb25d375,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_007,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_007,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_008,batch3,5937x128,True,True,378.2244567871094,393.3165283203125,1.0,1.0,1.0,1.0,1.7476959228515625,3.656036376953125,5.294374151702193,0.011300659179653394,0.6230767822266046,VISIBLE_PHASE_CENTERED,True,0.011300659179681816,0.623076782226559,SUPPORTED,06bf281e923807566c12da421d80ad853fba6b6dbe3325ac18c332b21a250d44,8a81d662f2470b9dd3ccd290e3dd54929e242761f96fece40d2e0712cb4116d1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_008,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_008,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_009,batch3,5937x128,True,True,360.2928771972656,386.7204284667969,1.0,1.0,1.0,1.0,0.9260711669921875,2.7362579345703124,6.3146780688838025,-0.05270690917981824,0.6371130371093102,VISIBLE_PHASE_CENTERED,True,-0.05270690917970455,0.6371130371093727,SUPPORTED,f0069f535dfc352894e9f2a0306135fd0dcc0db86c7f0bced71dba82b9314ecf,102add85e7d7762b7f2a907500dd4a084f98a75e15df3251099681ee47e030e9,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_009,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_009,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_010,batch3,5937x128,True,True,374.3987121582031,389.2139892578125,1.0,1.0,1.0,1.0,1.76763916015625,3.18802490234375,5.521431788156698,0.05448913574207381,0.6258154296873102,VISIBLE_PHASE_CENTERED,True,0.05448913574215908,0.6258154296874807,SUPPORTED,657a4eb7de9e4178c284c649966914c81b034188a0411b2662dc158ef57c89e6,604922f1c08e8d038fdd2dd9eb733466b7d2bca3e7af6ca83237b821a1ae780c,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_010,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_010,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_011,batch3,5937x128,True,True,402.0506286621094,437.8207092285156,1.0,1.0,1.0,1.0,1.0261383056640625,2.466778564453125,3.866374681627949,0.00620727539032373,0.629542846679567,VISIBLE_PHASE_CENTERED,True,0.006207275390607947,0.6295428466796693,SUPPORTED,281366cae56055b25533eef4c7d13f171a4a46ac4e1a037b5b200a92f6872f85,f5efc6870944547b945275ff38b1fe89fa920324cf48cb4295a68352ae0af3cd,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_011,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_011,VISUAL_PASS_LOW_CONTRAST,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_WEAK_POSITIVE,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_012,batch3,5937x128,True,True,374.9294738769531,398.37750244140625,1.0,1.0,1.0,1.0,1.2730712890625,2.8486785888671875,5.452014166238467,0.014218139648335182,0.6516802978515841,VISIBLE_PHASE_CENTERED,True,0.014218139648420447,0.6516802978515728,SUPPORTED,43b984d65271ae6614e4a05b8016b44767d2ae3f37daf5c7091a5537d5e45c27,6640268e8902714a8bc742d6681f02e2d8aead77309e4801b8d6f8cd455bf42f,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_012,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_012,VISUAL_PASS_LOW_CONTRAST,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_WEAK_POSITIVE,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
