crossing,nearest_separation_m,line_a,trace_a,gnss_distance_a_m,profile_chainage_a_m,status_a,label_center_time_a_ns,air_corrected_delay_a_ns,line_b,trace_b,gnss_distance_b_m,profile_chainage_b_m,status_b,label_center_time_b_ns,air_corrected_delay_b_ns,air_corrected_delay_abs_difference_ns,crossing_qc_grade,longitude,latitude,qc_note
Line3-Line9,0.0261,Line3,167,15.831,140.434,2,396.2,320.074,Line9,324,30.59,186.679,1,438.2,383.487,63.413,critical_mismatch_weak_label,106.80657035,31.26072839,Signal-domain crossing check only; do not interpret air-corrected delay as geological depth.
Line3-LineL1,0.0431,Line3,591,55.933,104.237,2,372.4,292.778,LineL1,62,5.703,5.906,2,350.0,282.305,10.474,review_weak_label,106.8066036,31.260368975,Signal-domain crossing check only; do not interpret air-corrected delay as geological depth.
Line3-Line7,0.0354,Line3,1449,136.979,30.989,1,459.2,394.102,Line7,1288,121.45,121.42,1,457.8,394.271,0.17,pass,106.80668145,31.259683375,Signal-domain crossing check only; do not interpret air-corrected delay as geological depth.
Line6-Line9,0.0182,Line6,523,48.386,106.275,1,394.8,314.765,Line9,1391,131.299,89.657,2,431.2,348.416,33.651,high_risk_weak_label,106.80555055,31.26065841,Signal-domain crossing check only; do not interpret air-corrected delay as geological depth.
Line6-LineL1,0.0287,Line6,957,88.539,65.709,1,485.755,411.594,LineL1,1120,103.113,106.691,1,483.0,427.257,15.662,review,106.80558235,31.260298655,Signal-domain crossing check only; do not interpret air-corrected delay as geological depth.
Line6-Line7,0.042,Line6,1632,150.987,2.617,2,319.2,239.122,Line7,212,19.991,19.985,2,310.8,241.134,2.012,pass_but_weak_label,106.80563215,31.259739035,Signal-domain crossing check only; do not interpret air-corrected delay as geological depth.
Line9-LineX1,0.0105,Line9,853,80.506,138.577,2,438.2,356.408,LineX1,197,16.982,69.109,2,400.4,340.352,16.057,review_weak_label,106.80608345,31.26069226,Signal-domain crossing check only; do not interpret air-corrected delay as geological depth.
LineL1-LineX1,0.0411,LineL1,568,52.286,54.108,1,326.2,267.059,LineX1,659,56.808,25.962,2,350.0,288.531,21.471,high_risk_weak_label,106.8061153,31.260335425,Signal-domain crossing check only; do not interpret air-corrected delay as geological depth.
